eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
47W000000000153O,47W000000000220Z,Fossil Oil,2015,173.0,0.002,0.217,169230.0
47W000000000153O,47W000000000221X,Fossil Oil,2015,137.0,0.001,0.217,134014.0
47W000000000153O,47W000000000108T,Fossil Oil,2015,143714.0,0.165,0.983,83201600.0
47W000000000153O,47W0000000001113,Fossil Oil,2015,6638.0,0.005,0.983,5230740.0
47W000000000153O,47W0000000001105,Fossil Oil,2015,29776.0,0.02,0.983,23463500.0
47W000000000153O,47W000000000109R,Fossil Oil,2015,30829.0,0.021,0.983,24293300.0
38W-MT--BEJ----R,38W-MT--BEJG10-5,Fossil Oil shale,2015,1152.0,0.001,0.996,1176770.0
38W-MT--BEJ----R,38W-MT--BEJG11-2,Fossil Oil shale,2015,1247202.0,0.745,0.996,1101850000.0
38W-MT--BEJ----R,38W-MT--BEJG1Q-1,Fossil Oil shale,2015,127702.0,0.105,0.996,130448000.0
38W-MT--BEJ----R,38W-MT--BEJG09-J,Fossil Oil shale,2015,4181.0,0.003,0.996,4270890.0
18WBRR1-12345-0H,18WBRR1-12345-DS,Fossil Hard coal,2015,3821551.0,0.765,1.0,3519650000.0
46WPU0000000038K,46WGU0000000039O,Hydro Water Reservoir,2015,546959.0,0.718,0.869,0.0
18WUFMI-12345-0L,18WBEL1-12345-AY,Hydro Water Reservoir,2015,163120.0,0.182,1.0,0.0
18WUFMI-12345-0L,18WBEL2-12345-AO,Hydro Water Reservoir,2015,140719.0,0.153,1.0,0.0
18WUFMI-12345-0L,18WBEL3-12345-AE,Hydro Water Reservoir,2015,159412.0,0.177,1.0,0.0
17W100P100P01857,17W100P100P0090I,Nuclear,2015,10356246.0,0.903,1.0,0.0
17W100P100P01865,17W100P100P0091G,Nuclear,2015,9199008.0,0.802,1.0,0.0
22WBELWIN0000271,22WBELWIN1500271,Wind Offshore,2015,588165.0,0.395,0.995,0.0
16WBEMPOS------6,16WBEMPOS1-----T,Hydro Run-of-river and poundage,2015,136012.0,0.195,0.997,0.0
16WBEMPOS------6,16WBEMPOS2-----M,Hydro Run-of-river and poundage,2015,109314.0,0.156,0.997,0.0
16WBEMPOS------6,16WBEMPOS3-----F,Hydro Run-of-river and poundage,2015,64256.0,0.092,0.997,0.0
16WBEMPOII-----R,16WBEMPOS4-----8,Hydro Run-of-river and poundage,2015,632237.0,0.379,0.997,0.0
11WD7BERG1S--KWB,11WD7BERG1S--A-X,Fossil Hard coal,2015,2753651.0,0.488,0.899,2738860000.0
18WBES5-123456-T,18WBES5TG1-123-2,Fossil Gas,2015,195913.0,0.081,1.0,71811000.0
18WBES5-123456-T,18WBES5TG2-123-W,Fossil Gas,2015,235401.0,0.097,1.0,86285200.0
18WBES5-123456-T,18WBES5TV-1234-K,Fossil Gas,2015,312816.0,0.116,1.0,114661000.0
18WBES3-12345-0V,18WBES3-12345-C7,Fossil Gas,2015,836615.0,0.232,1.0,318229000.0
18WBES4-12345-0L,18WBES4-12345-CY,Fossil Gas,2015,2153538.0,0.615,1.0,819157000.0
11WD7MITB1C----N,11WD7MITB1C---A1,Fossil Hard coal,2015,2266866.0,0.394,0.904,2254690000.0
19W000000000016F,19W000000000017D,Fossil Brown coal/Lignite,2015,2440922.0,0.755,0.997,2835200000.0
19W000000000016F,19W000000000020O,Fossil Brown coal/Lignite,2015,2359493.0,0.73,0.997,2740620000.0
19W000000000016F,19W000000000021M,Fossil Brown coal/Lignite,2015,2582847.0,0.778,0.997,3000050000.0
19W000000000016F,19W000000000022K,Fossil Brown coal/Lignite,2015,2164591.0,0.652,0.997,2514240000.0
19W000000000016F,19W000000000023I,Fossil Brown coal/Lignite,2015,2510694.0,0.756,0.997,2916240000.0
19W000000000016F,19W000000000024G,Fossil Brown coal/Lignite,2015,2618744.0,0.761,0.997,3041750000.0
19W000000000016F,19W000000000025E,Fossil Brown coal/Lignite,2015,2568976.0,0.754,0.997,2983940000.0
19W000000000016F,19W000000000026C,Fossil Brown coal/Lignite,2015,2551857.0,0.749,0.997,2964060000.0
19W000000000016F,19W000000000027A,Fossil Brown coal/Lignite,2015,746126.0,0.219,0.997,866647000.0
19W000000000016F,19W0000000000288,Fossil Brown coal/Lignite,2015,1435132.0,0.421,0.997,1666950000.0
19W000000000016F,19W0000000000296,Fossil Brown coal/Lignite,2015,2561059.0,0.752,0.997,2974750000.0
